PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Source,Date,Metadata
850,Health,PSA,Mental well-being is essential for a productive and healthy workplace. Prioritize mental health just as you would physical health.,Ustawi wa akili ni muhimu kwa mahali pa kazi penye tija na afya. Panga afya ya akili kama vile unavyoweza kuipa kipaumbele afya ya mwili.,Bedo gi paro maber en gima dwarore ahinya mondo ng'ato obed gi ngima maber e kar tich. Par ni bedo gi paro mowinjore en gima duong' ahinya mana kaka rito dendi.,original_baseline_dataset,2026-07-11,PSA
851,Health,PSA,Talking about mental health breaks the stigma and helps others open up. Lets create a supportive environment for all.,Kuzungumzia afya ya akili huvunja unyanyapaa na kuwasaidia wengine kufunguka. Tujenge mazingira ya usaidizi kwa wote.,Wuoyo e wi tuoche mag paro ketho wichkuot kendo konyo jomoko mondo owach gima nie chunygi. Weuru mondo walos kamoro maber ma ji duto nyalo dakie.,original_baseline_dataset,2026-07-11,PSA
852,Health,PSA,Government distributes mosquito nets in malaria fight. Kilifi County is one of the beneficiaries. Nets program was flagged over procurement irregularities. MOH wants to distribute 15M nets in 22 counties,Serikali yasambaza vyandarua katika mapambano dhidi ya malaria. Kaunti ya Kilifi ni mojawapo ya wanufaika. Programu ya vyandarua iliangaziwa kwa ukiukwaji wa sheria za ununuzi. Wizara ya Afya inataka kusambaza vyandarua milioni 15 katika kaunti 22,Sirkal pogo net mag kwiri e kedo gi malaria. Kaunti mar Kilifi en achiel kuom joma yudo kony. Chenro mar Nets ne oket e bwo chik nikech gik ma ok kare ma ne timore e chenro mag ng'iewo. MOH dwaro pogo net 15M e counties 22,original_baseline_dataset,2026-07-11,PSA
853,Health,PSA,Kenya confirms 12 more COVID-19 cases bringing total number to 246. Health CS Mutahi Kagwe says 5 of them are hotel workers.,Kenya yathibitisha visa 12 zaidi vya COVID-19 na kufanya jumla ya idadi kufikia 246. Waziri wa Afya Mutahi Kagwe anasema 5 kati yao ni wafanyakazi wa hoteli.,Kenya nyiso ni nitie ji 12 kendo ma nigi COVID-19 mamiyo kwan duto mar jogo omedore nyaka 246. Jatend migao mar thieth miluongo ni Mutahi Kagwe wacho ni abich kuomgi gin jotich ma otel.,original_baseline_dataset,2026-07-11,PSA
854,Health,PSA,"Over the last 24 hours we have tested over 300 Kenyans, out of those 22 have tested positive for covid-19 (13-males, 9-females). 21 out of the 22 cases are people who are currently in quarantine","Katika saa 24 zilizopita tumewapima Wakenya zaidi ya 300, kati ya hao 22 wamepimwa na kukutwa na virusi vya covid-19 (wanaume 13, wanawake 9). Visa 21 kati ya 22 ni watu ambao kwa sasa wako karantini.","Kuom seche 24 mosekalo, wasenono jo Kenya mokalo 300, kuom jogo 22 oseyudo ni nigi tuo mar covid-19 (13- chwo, 9 mon). 21 kuom ji 22 ma nigi tuono gin joma sani ni e kar kendgi.",original_baseline_dataset,2026-07-11,PSA
855,Health,PSA,"Religious leaders under World Council of Churches urge governments and donor countries to increase Global Fund support, to aid sustainable responses to HIV, tuberculosis, and malaria.","Viongozi wa kidini chini ya Baraza la Makanisa Duniani wanahimiza serikali na nchi wafadhili kuongeza usaidizi wa Mfuko wa Dunia, ili kusaidia majibu endelevu kwa VVU, kifua kikuu, na malaria.","Jotend din manie bwo riwruok mar World Council of Churches jiwo sirkande koda pinje machiwo kony mondo omed kony ma riwruok mar Global Fund chiwo, mondo okony e kedo gi AYAKI, kahera, kod malaria.",original_baseline_dataset,2026-07-11,PSA
856,Health,PSA,"The US government’s freeze on foreign aid, especially through USAid has caused major disruptions in Kenya’s health sector, particularly in HIV, malaria, and tuberculosis programmes that heavily rely on donor support.","Kusitishwa kwa misaada ya kigeni na serikali ya Marekani, hasa kupitia USAid, kumesababisha usumbufu mkubwa katika sekta ya afya ya Kenya, hasa katika programu za VVU, malaria, na kifua kikuu ambazo hutegemea sana msaada wa wafadhili.","Sirkal mar Amerka chungo kony mag pinje mamoko, to moloyo kokalo kuom USAid, osekelo chandruok maduong' e yore mag thieth e piny Kenya, to moloyo e chenro mag thieth mag AYAKI, malaria, kod kahera ma ne otenore ahinya kuom kony mar jochiwo.",original_baseline_dataset,2026-07-11,PSA
857,Health,PSA,There is no local transmission of malaria in Nairobi. If you have been a full time resident of Nairobi and you get sick with fever the probability that it is malaria is close to zero.,"Hakuna maambukizi ya malaria jijini Nairobi. Kama umekuwa mkazi wa Nairobi kwa muda wote na unaugua homa, uwezekano kwamba ni malaria ni karibu sifuri.","Onge tuo mar malaria ma landore e Nairobi. Kapo ni isebedo ka idak Nairobi kuom kinde malach to tuwo mar malaria omaki, nyalo bedo ni en malaria.",original_baseline_dataset,2026-07-11,PSA
858,Health,PSA,Rising temperatures elevate the risk to Nairobi's malaria-free status,Kuongezeka kwa joto huongeza hatari ya kutokuwepo kwa malaria jijini Nairobi,Medruok mar liet miyo Nairobi bedo kama tuwo mar malaria ok yudie,original_baseline_dataset,2026-07-11,PSA
859,Health,PSA,"Malaria mortality rate rises to pre-pandemic levels, WHO report shows at least 597,000 people succumbed to the disease last year.","Ripoti ya WHO inaonyesha kuwa kiwango cha vifo kutokana na malaria kinaongezeka hadi viwango vya kabla ya janga, kwa mujibu wa ripoti hiyo.","Kwan mar joma tho nikech malaria idho malo nyaka e okang' ma ne entie kapok tuwo mar malaria ogoyo piny, ripot mar WHO nyiso ni ji ma kwan-gi ok tin ne 597,000 ne otho gi tuwono higa mokalo.",original_baseline_dataset,2026-07-11,PSA
860,Health,PSA,"Mission for Essential Drugs and Supplies suspends orders for USAID-funded essential drugs, move likely to affect the distribution of HIV and malaria drugs","Shirika la Misheni ya Dawa na Ugavi Muhimu lasimamisha oda za dawa muhimu zinazofadhiliwa na USAID, hatua ambayo inaweza kuathiri usambazaji wa dawa za VVU na malaria","Migawo mar Yath kod Gik Madwarore e Piny Oweyo oko kwayo mag yadh madwarore ma USAID ema chiwo, okang' manyalo kelo pek e pogo yadh AYAKI kod malaria",original_baseline_dataset,2026-07-11,PSA
861,Health,PSA,"Devastating flooding in South Sudan is affecting around 1.4 million people, with more than 379,000 displaced, according to a United Nations update that warned about an upsurge in malaria.","Mafuriko makubwa nchini Sudan Kusini yanaathiri takriban watu milioni 1.4, huku zaidi ya watu 379,000 wakimbizi, kulingana na taarifa mpya ya Umoja wa Mataifa iliyoonya kuhusu ongezeko la malaria.","Ataro mar pi e piny South Sudan, osemiyo ji madirom milion 1.4 oyudo masira, kendo ji mokalo 379,000 oseweyo miechgi, kaluwore gi nonro manyien mar Riwruok mar Pinje ma ne ochiwo siem ni malaria biro medore.",original_baseline_dataset,2026-07-11,PSA
862,Health,PSA,"The Ministry of Health has reassured the public that there will be no shortage of essential drugs, including those for malaria, HIV/AIDS and TB for at least the next one year. ","Wizara ya Afya imewahakikishia umma kwamba hakutakuwa na uhaba wa dawa muhimu, ikiwa ni pamoja na zile za malaria, VVU/UKIMWI na Kifua Kikuu kwa angalau mwaka mmoja ujao.","Migawo mar weche thieth osenyiso ji ni ok bi bedo gi nok mar yedhe madwarore ahinya, moriwo koda mago mag malaria, HIV/AIDS, kod TB, kuom higini madirom achiel mabiro.",original_baseline_dataset,2026-07-11,PSA
863,Health,PSA,Kenya to release genetically modified mosquitoes to fight malaria,Kenya kutoa mbu waliobadilishwa vinasaba ili kupambana na malaria,Kenya biro gonyo ochunglo molos gi kute mag ayaki mondo oked gi malaria,original_baseline_dataset,2026-07-11,PSA
864,Health,PSA,"To lower cases of HIV/AIDS, Tuberculosis and Malaria, and enhance the vaccines and immunisation programme in the country, I have proposed Sh28.7bn for the Global Fund and Sh4.6bn for vaccines and immunisation programmes.","Ili kupunguza visa vya VVU/UKIMWI, Kifua Kikuu na Malaria, na kuboresha mpango wa chanjo na chanjo nchini, nimependekeza Sh28.7 bilioni kwa ajili ya Mfuko wa Dunia na Sh4.6 bilioni kwa ajili ya chanjo na programu za chanjo.","Mondo odwok piny tuoche mag AYAKI/AIDS, Tuberculosis kod malaria, kendo medo chenro mag chanjo kod thieth e piny, asechiwo Sh28.7 billion ne Global Fund kod Sh4.6 billion ne chanjo kod chenro mag thieth.",original_baseline_dataset,2026-07-11,PSA
865,Health,PSA,"You are six times more likely to get malaria if you visit Busia, Tana River, Kakamega, Bungoma, Kilifi, Kisumu, Trans Nzoia, Elgeyo Marakwet and Nandi counties, according to the latest data from the Ministry of Health.","Una uwezekano mara sita zaidi wa kupata malaria ukitembelea kaunti za Busia, Tana River, Kakamega, Bungoma, Kilifi, Kisumu, Trans Nzoia, Elgeyo Marakwet na Nandi, kulingana na data ya hivi karibuni kutoka Wizara ya Afya.","Kaluwore gi weche ma nyocha owuok e Migawo mar Weche Thieth, inyalo yudo malaria nyadi auchiel ka idhi e gwenge mag Busia, Tana River, Kakamega, Bungoma, Kilifi, Kisumu, Trans Nzoia, Elgeyo Marakwet kod Nandi.",original_baseline_dataset,2026-07-11,PSA
866,Health,PSA,Scientists have found that a mosquito species blamed for malaria transmission in eastern and southern Africa has developed resistance to a long-used insecticide in the region.,Wanasayansi wamegundua kwamba aina ya mbu inayolaumiwa kwa maambukizi ya malaria mashariki na kusini mwa Afrika imekua na upinzani dhidi ya dawa ya kuua wadudu ambayo imekuwa ikitumika kwa muda mrefu katika eneo hilo.,"Josayans osefwenyo ni nitie kit kute moko ma miyo ji yudo malaria e pinje mag Afrika ma ugwe kod ma milambo, to sani gisenyagore gi yedhe mag nego kute ma nosebedo ka itiyogo e alworano kuom higini mang'eny.",original_baseline_dataset,2026-07-11,PSA
867,Health,PSA,"Malaria's gendered burden: Recent floods heighten risk for women, girls",Mzigo wa Malaria kwa jinsia: Mafuriko ya hivi karibuni yaongeza hatari kwa wanawake na wasichana,Pek mar malaria kaluwore gi chwo gi mon: Ataro ma nyocha otimore medo hinyruok ne mon kod nyiri,original_baseline_dataset,2026-07-11,PSA
868,Health,PSA,"The Health Ministry also said the 2023/2024 mass net distribution campaign was launched in Homa Bay County on November 15, 2023, with 830,862 nets distributed, covering 91 percent of registered households.","Wizara ya Afya pia ilisema kampeni ya usambazaji wa vyandarua kwa wingi ya 2023/2024 ilizinduliwa katika Kaunti ya Homa Bay mnamo Novemba 15, 2023, huku vyandarua 830,862 vikisambazwa, vikijumuisha asilimia 91 ya kaya zilizosajiliwa.","Migawo mar thieth bende ne owacho ni kampen mar chiwo net e okang' malach mar 2023/2024 ne ochaki e Homa Bay County e Novemba 15, 2023, ka ne opog net 830,862, ma ne oriwo pasent 91 mag udi ma ne osendik.",original_baseline_dataset,2026-07-11,PSA
869,Health,PSA,Communities in Baringo fight back against malaria with local solutions and mosquito nets,Jamii huko Baringo zinapambana na malaria kwa kutumia suluhisho za kienyeji na vyandarua,Joma odak e gwenge mag Baringo kedo gi malaria ka gitiyo gi yore mag geng'o kute mag ayaki,original_baseline_dataset,2026-07-11,PSA
870,Health,PSA,"A malaria vaccine tested in Kenya gains WHO prequalification, costing as low as Sh300, becoming the world's second vaccine on the global prequalified list.","Chanjo ya malaria iliyojaribiwa nchini Kenya yapata sifa ya awali ya WHO, ikigharimu hadi Sh300, na kuwa chanjo ya pili duniani kwenye orodha ya chanjo zilizoidhinishwa awali duniani.","Yath mar malaria ma ne otem e piny Kenya ne oyudo mar WHO, ma nengone ne ni piny mar Sh300, kendo mano ne omiyo obedo yath mar ariyo e piny mangima e list mar yadhno ma ne otem.",original_baseline_dataset,2026-07-11,PSA
871,Health,PSA,"Global Fund, through the Kenya Medical Supplies Agency, is distributing mosquito nets in malaria-endemic regions across the country","Mfuko wa Kimataifa, kupitia Shirika la Ugavi wa Dawa la Kenya, unasambaza vyandarua vya mbu katika maeneo yaliyoathiriwa na malaria kote nchini.","Global Fund, kokalo kuom Kenya Medical Supplies Agency, pogo net mag geng'o kute e gwenge ma malaria opong'o e pinyno",original_baseline_dataset,2026-07-11,PSA
872,Health,PSA,"Malaria mortality has fallen back to levels seen before the Covid-19 crisis, the WHO said Wednesday, but called for faster progress against the disease that killed nearly some 597,000 people last year.","Vifo vya malaria vimeshuka hadi viwango vilivyoonekana kabla ya janga la Covid-19, WHO ilisema Jumatano, lakini ilitaka maendeleo ya haraka dhidi ya ugonjwa huo ulioua karibu watu 597,000 mwaka jana.","Kwan mar joma tho nikech malaria osedok chien nyaka e okang' ma ne entie kapok masira mar Covid-19 ochakore, mana kaka WHO nowacho chieng' Tich Adek, kata kamano, ne gikwayo mondo otim dongruok mapiyo e kedo gi tuwo ma ne onego chiegni ji 597,000 higa mokalo.",original_baseline_dataset,2026-07-11,PSA
873,Health,PSA,10.9m treated mosquito nets to be distributed across 22 counties in fight against Malaria,Vyandarua milioni 10.9 vilivyotibiwa vitasambazwa katika kaunti 22 ili kupambana na Malaria,Net mag kweth mag kute ma osetigo ma romo milion 10.9 ibiro pog e gwenge 22 e kedo gi malaria,original_baseline_dataset,2026-07-11,PSA
874,Health,PSA,"Kenya signs six Global Fund grants amounting to Sh59.7 billion to support HIV, TB and malaria interventions; funding to strengthen health and community systems over three years.","Kenya yasaini ruzuku sita za Mfuko wa Kimataifa zenye thamani ya Sh59.7 bilioni kusaidia uingiliaji kati wa VVU, Kifua Kikuu na malaria; ufadhili wa kuimarisha mifumo ya afya na jamii kwa miaka mitatu.","Kenya oketo sei e chiwo mar pesa mar Global Fund maromo Sh59.7 billion mar siro yore mag thieth mag HIV, TB kod malaria; chiwo pesa mar tego yore mag thieth kod mag oganda kuom higni adek.",original_baseline_dataset,2026-07-11,PSA
875,Health,PSA,World Malaria Day: Kenya Joins the World in Commemorating Malaria Day.,Siku ya Malaria Duniani: Kenya Yaungana na Dunia Kuadhimisha Siku ya Malaria.,Odiechieng Maleria e Piny: Kenya Riwore gi Piny e Paro Odiechieng Maleria.,original_baseline_dataset,2026-07-11,PSA
876,Health,PSA,There is a silver lining in the fight against malaria after Kenya was listed alongside 12 other African countries set to receive 18 million doses of the first-ever malaria vaccine in the next two years,Kuna mwelekeo mzuri katika vita dhidi ya malaria baada ya Kenya kuorodheshwa pamoja na nchi zingine 12 za Afrika zinazotarajiwa kupokea dozi milioni 18 za chanjo ya kwanza kabisa ya malaria katika miaka miwili ijayo.,Nitie wach maber e kedo gi malaria bang' Kenya bedo achiel kuom pinje 12 mag Afrika ma biro yudo doje milion 18 mag yadh malaria mokwongo e higini ariyo mabiro.,original_baseline_dataset,2026-07-11,PSA
877,Health,PSA,"Counties in the northern part of Kenya are recording a high prevalence of malaria, a trend that is worrying scientists, especially with the invasion of a new species of mosquito in the country.","Kaunti katika sehemu ya kaskazini mwa Kenya zinarekodi kiwango kikubwa cha malaria, hali ambayo inawatia wasiwasi wanasayansi, hasa kutokana na uvamizi wa aina mpya ya mbu nchini.","E gwenge moko man yo nyandwat mar Kenya, kwan mar joma nigi malaria osemedore ahinya, to mano en gima miyo josayans bedo gi parruok ahinya, to moloyo nikech kweth moro manyien mar kute osechopo e pinyno.",original_baseline_dataset,2026-07-11,PSA
878,Health,PSA,The Ministry of Health is planning to conduct a massive malaria vaccination drive after the WHO warned of a surge in mosquito-borne diseases due to global warming,Wizara ya Afya inapanga kufanya kampeni kubwa ya chanjo ya malaria baada ya WHO kuonya kuhusu ongezeko la magonjwa yanayoenezwa na mbu kutokana na ongezeko la joto duniani.,Migawo mar weche thieth chano mar timo kampen maduong ' mar chanjo malaria bang ' ka riwruok mar WHO nosiemo ni tuoche mikelo gi kute biro medore nikech liet mar piny.,original_baseline_dataset,2026-07-11,PSA
879,Health,PSA,Fight against malaria faces fresh threat from new deadly mosquito species,Mapambano dhidi ya malaria yanakabiliwa na tishio jipya kutoka kwa aina mpya za mbu hatari,"E kedo gi malaria, nitie kit kute moko manyien makelo hinyruok",original_baseline_dataset,2026-07-11,PSA
880,Health,PSA,The Kenya Medical Research Institute (Kemri) has dispatched a team of experts to Marsabit to collect samples for tests after nine people died.,Taasisi ya Utafiti wa Kimatibabu ya Kenya (Kemri) imetuma timu ya wataalamu kwenda Marsabit kukusanya sampuli kwa ajili ya vipimo baada ya watu tisa kufariki.,Kenya Medical Research Institute (Kemri) oseoro jotim nonro e Marsabit mondo ochok ranyisi mag tuoche mondo onon bang' ka ji ochiko osetho.,original_baseline_dataset,2026-07-11,PSA
881,Health,PSA,"Kenya receives 10,700 doses of Mpox vaccine to curb disease spread, Health Ministry says; 67 cases confirmed since July 2024.","Wizara ya Afya inasema Kenya yapokea dozi 10,700 za chanjo ya Mpox ili kupunguza kuenea kwa ugonjwa huo; visa 67 vimethibitishwa tangu Julai 2024.","Kenya oyudo doje 10,700 mag chanjo mar Mpox mar geng'o landruok mar tuoche, Ministry mar Thieth wacho; ji 67 oseyudo ni nigi tuono chakre Julai 2024.",original_baseline_dataset,2026-07-11,PSA
882,Health,PSA,"Kenya confirms surge in Mpox cases, tally now at 137 with Busia, Mombasa and Nakuru counties leading with highest number of infections.","Kenya yathibitisha kuongezeka kwa visa vya Mpox, ambapo sasa vimefikia 137 huku kaunti za Busia, Mombasa na Nakuru zikiongoza kwa kuwa na idadi kubwa zaidi ya maambukizi.","Kenya nyiso medruok mar joma nigi tuwo mar Mpox, ma sani gin 137 ka kaunti mag Busia, Mombasa kod Nakuru ema nigi kwan mamalo moloyo mar joma nigi tuono.",original_baseline_dataset,2026-07-11,PSA
883,Health,PSA,"36 cases of Mpox reported so far in Kenya, two persons admitted and one patient receiving home-based care.","Visa 36 vya Mpox vimeripotiwa hadi sasa nchini Kenya, watu wawili waliolazwa na mgonjwa mmoja anayepatiwa huduma ya nyumbani.","E Kenya, ji 36 oseyudo tuwo mar Mpox, ji ariyo ne orwak e osiptal to jatuwo achiel ne yudo thieth e pacho.",original_baseline_dataset,2026-07-11,PSA
884,Health,PSA,Kenya confirms three new Mpox cases in Busia; Health Ministry warns of a high risk of importing Marburg and Ebola viruses from neighboring Tanzania and Sudan.,Kenya yathibitisha visa vitatu vipya vya Mpox huko Busia; Wizara ya Afya yaonya kuhusu hatari kubwa ya kuagiza virusi vya Marburg na Ebola kutoka nchi jirani za Tanzania na Sudan.,Kenya nyiso ni nitie ji adek manyien ma nigi tuwo mar Mpox e Busia; Migawo mar Thieth chiwo siem ni nitie masira maduong' mar kelo tuo mar Marburg kod Ebola koa Tanzania kod Sudan.,original_baseline_dataset,2026-07-11,PSA
885,Health,PSA,"WHO extends Mpox alert, says virus remains public health emergency of international concern, 37,000 cases recorded with 125 deaths since 2024.","WHO yaongeza tahadhari ya Mpox, yasema virusi hivyo vinasalia kuwa dharura ya afya ya umma inayotia wasiwasi kimataifa, visa 37,000 vimerekodiwa na vifo 125 tangu 2024.","WHO medo kwan mar Mpox alert, owacho ni tuono pod en masira mar thieth mar oganda ma kelo parruok e piny mangima, jii 37,000 ma nigi tuono osendik kod ji 125 ma osetho chakre 2024.",original_baseline_dataset,2026-07-11,PSA
886,Health,PSA,"The Ministry of Health has confirmed three new Mpox cases in Busia County, bringing the total number to 42 since the outbreak in July 2024.","Wizara ya Afya imethibitisha visa vitatu vipya vya Mpox katika Kaunti ya Busia, na kufikisha jumla ya visa 42 tangu mlipuko wa virusi hivyo Julai 2024.","Migawo mar Thieth oseyie ni ji adek manyien nigi tuwo mar Mpox e Kaunti mar Busia, ma kelo kwan duto mar ji 42 nyaka ne tuwo ochakore e dwe mar Julai 2024.",original_baseline_dataset,2026-07-11,PSA
887,Health,PSA,"The Ministry of Health has confirmed two new Mpox cases, bringing the total number of infections to 33 since the outbreak began.","Wizara ya Afya imethibitisha visa viwili vipya vya Mpox, na kufanya jumla ya maambukizi kufikia 33 tangu mlipuko huo uanze.","Migawo mar Thieth oseyie ni nitie ji ariyo manyien ma nigi Mpox, ma kelo kwan mar joma nigi tuwono e 33 nyaka ne tuwono chakore.",original_baseline_dataset,2026-07-11,PSA
888,Health,PSA,"Every day, we are vulnerable to a new outbreak, disease, pandemic or virus. Recent ones include the Marburg virus, Mpox, Ebola, Zika and the nightmarish experience we faced during the Covid-19 pandemic.","Kila siku, tuko katika hatari ya kupata mlipuko mpya, ugonjwa, janga au virusi. Vipya ni pamoja na virusi vya Marburg, Mpox, Ebola, Zika na tukio baya tulilokabiliana nalo wakati wa janga la Covid-19.","Odiechieng' kodiechieng', waromo gi tuoche, tuoche ma landore, kata kute mag ayaki. Moko kuom gik ma nyocha otimore oriwo Marburg virus, Mpox, Ebola, Zika kod masira malich ma ne wayudo e kinde mar Covid-19.",original_baseline_dataset,2026-07-11,PSA
889,Health,PSA,"Five new Mpox cases confirmed in 12 counties, including Nakuru and Mombasa, raising the total to 28; Health CS Deborah Barasa reports one death and eight under care.","Visa vitano vipya vya Mpox vimethibitishwa katika kaunti 12, ikiwa ni pamoja na Nakuru na Mombasa, na kufanya jumla ya visa kufikia 28; Waziri wa Afya Deborah Barasa anaripoti kifo kimoja na wanane wakiwa chini ya uangalizi.","Jotuo abich manyien mag Mpox ne oyangi e gwenge 12, moriwo Nakuru kod Mombasa, ka mano miyo kwan duto mar jogo ma nigi tuwono omedore mochopo 28, Health CS Deborah Barasa wacho ni ng'at achiel ne otho kendo ji aboro ne orit.",original_baseline_dataset,2026-07-11,PSA
890,Health,PSA,"Kenya confirms two new Mpox cases in Kericho and Taita Taveta counties, raising total to 33; Health Ministry urges schools to enhance safety measures to curb spread.","Kenya yathibitisha visa viwili vipya vya Mpox katika kaunti za Kericho na Taita Taveta, na kuongeza jumla ya visa hivyo kufikia 33; Wizara ya Afya yahimiza shule kuimarisha hatua za usalama ili kupunguza kuenea kwa virusi hivyo.","Kenya nyiso ni nitie ji ariyo manyien ma nigi tuwo mar Mpox e gwenge mag Kericho kod Taita Taveta, ka mano miyo kwan mar jogo duto omedore nyaka 33; Migawo mar Thieth jiwo skunde mondo omed tiyo gi yore mag ritruok mondo ogeng' landruokno.",original_baseline_dataset,2026-07-11,PSA
891,Health,PSA,"Kenya's Ministry of Health has urged citizens to strictly adhere to mpox preventive measures as the number of cases continues to rise, with children being particularly vulnerable.","Wizara ya Afya ya Kenya imewasihi raia kuzingatia kwa makini hatua za kinga za mpox huku idadi ya visa ikiendelea kuongezeka, huku watoto wakiwa katika hatari zaidi.","Migawo mar Thieth e piny Kenya osekwayo raia mondo oluw ahinya yore mag geng'o tuo mar mpox nikech kwan mar joma nigi tuwono siko ka medore, to nyithindo e ma nigi tuwono moloyo.",original_baseline_dataset,2026-07-11,PSA
892,Health,PSA,"A healthy mind drives workplace success. Prioritizing mental health boosts morale, reduces stress, and improves productivity","Akili yenye afya huchochea mafanikio mahali pa kazi. Kuweka kipaumbele katika afya ya akili huongeza ari, hupunguza msongo wa mawazo, na huboresha tija","Bedo gi paro makare miyo ng'ato dhi maber e tich. Keto paro mag tuoche mag paro obed motelo miyo ng'ato bedo gi chuny mokuwe, parruok bedo matin, kendo tich bedo maber",original_baseline_dataset,2026-07-11,PSA
893,Health,PSA,"Taking care of your mental health is as important as your physical health. A healthy mind leads to a happier, healthier life.",Kutunza afya yako ya akili ni muhimu kama vile afya yako ya kimwili. Akili yenye afya inaongoza kwenye maisha yenye furaha na afya njema.,Rito pachi en gima dwarore ahinya mana kaka rito dendi. Paro makare miyo ng'ato bedo gi ngima maber.,original_baseline_dataset,2026-07-11,PSA
894,Health,PSA,"What do you do to prioritize mental health?
Talking about it is a great first step.","Unafanya nini ili kuweka kipaumbele afya ya akili?
Kuzungumzia kuhusu hilo ni hatua nzuri ya kwanza.","Ang'o minyalo timo mondo omi ibed gi paro mowinjore kuom tuoche mag paro?
Wuoyo kuom wechego e okang' mokwongo en gima ber.",original_baseline_dataset,2026-07-11,PSA
895,Health,PSA,"Ministry of health has confirmed the first coronavirus case in Kenya. The Kenyan citizen returning from the US to Nairobi via London on 5th March. She was confirmed positive by the national influenza lab. However, the patient is stable","Wizara ya afya imethibitisha kisa cha kwanza cha virusi vya corona nchini Kenya. Raia huyo wa Kenya anarudi kutoka Marekani hadi Nairobi kupitia London mnamo Machi 5. Alithibitishwa kuwa na virusi hivyo na maabara ya kitaifa ya mafua. Hata hivyo, mgonjwa huyo yuko imara.","Migawo mar thieth oseyie ni nitie ng'at mokwongo ma nigi tuo mar coronavirus e piny Kenya. Ja-Kenya ma ne odok Nairobi kowuok Amerka kowuok London tarik 5 dwe mar adek. Lab mar piny owacho mar kute mag ayaki ne onyiso ni en gi kutego. Kata kamano, chal mar jatuo osiko maber.",original_baseline_dataset,2026-07-11,PSA
896,Health,PSA,Gov't calls for wearing of masks as country battles 6th Covid-19 wave,Serikali yatoa wito wa kuvaa barakoa huku nchi ikipambana na wimbi la 6 la Covid-19,Sirkal dwaro ni ji orwak lep lak sama piny kedo gi tuwo mar 6 mar Covid-19.,original_baseline_dataset,2026-07-11,PSA
897,Health,PSA,"All public gatherings meetings, games, events, church crusades have been suspended. Churches can have services as long as they have sanitizer. Schools to remain open but inter school games are cancelled","Mikutano yote ya hadhara, michezo, matukio, mikutano ya kanisa imesimamishwa. Makanisa yanaweza kuwa na ibada mradi tu yana vitakasa mikono. Shule zitaendelea kufunguliwa lakini michezo kati ya shule imefutwa","Chokruoge mag ji duto, tuke, gik matimore, koda wuodh kanisa, osegol oko. Kanise nyalo bedo gi chokruok mag lamo, to mana ka gin gi sanitizer. Skunde dhi siko ka oyawore to tuke mag skul ok dhi dhi nyime",original_baseline_dataset,2026-07-11,PSA
898,Health,PSA,Mandatory wearing of masks in public and open spaces is now lifted,Uvaaji wa lazima wa barakoa katika maeneo ya umma na wazi sasa umeondolewa,Tiyo gi abuog rombee e lela kod kuonde ma ji ng'enyie koro ogol oko,original_baseline_dataset,2026-07-11,PSA
899,Health,PSA,"Your health is our priority! No one should face TB alone. Get tested early and access FREE treatment at your nearest public health facility.
Together, we can end TB in Kenya!","Afya yako ndiyo kipaumbele chetu! Hakuna mtu anayepaswa kukabiliana na TB peke yake. Pima mapema na upate matibabu BURE katika kituo cha afya cha umma kilicho karibu nawe.
Kwa pamoja, tunaweza kukomesha TB nchini Kenya!","Wageno ni ngimau biro bedo maber moloyo! Onge ng'ama onego okaw ting' mar kedo gi tuwo mar kahera kende owuon. Tim nonro chon kendo iyud thieth MAOK CHUL e kar thieth mar oganda machiegni kodi.
Ka wariwore kanyachiel, wanyalo tieko chuth tuo mar kahera e piny Kenya!",original_baseline_dataset,2026-07-11,PSA
900,Health,PSA,"By recognizing the humanity of individuals with mental illnesses, we can cultivate a more compassionate and understanding society.
If you or someone you know needs psychosocial support, please don't hesitate to reach out to us at our toll-free number, 1199","Kwa kutambua ubinadamu wa watu wenye magonjwa ya akili, tunaweza kukuza jamii yenye huruma na uelewa zaidi.

Ikiwa wewe au mtu unayemjua anahitaji usaidizi wa kisaikolojia, tafadhali usisite kuwasiliana nasi kwa nambari yetu ya simu isiyolipishwa, 1199.","Ka wang'eyo ni joma nigi tuoche mag paro gin dhano kaka wan, wanyalo miyo oganda obed mang'won kendo mawinjo lit mar jomoko.
Ka in kata ng'at ming'eyo dwaro kony mar paro, kik iluor luongowa e namba maonge nengo, 1199",original_baseline_dataset,2026-07-11,PSA
901,Health,PSA,"Educate yourself on mental health issues, so that you can be an ambassador of change, speaking against mental health stigma. Stigma & discrimination are major barriers to accessing mental health services. Choose to live an empowered life, fight the stigma.","Jielimishe kuhusu masuala ya afya ya akili, ili uweze kuwa balozi wa mabadiliko, ukipinga unyanyapaa wa afya ya akili. Unyanyapaa na ubaguzi ni vikwazo vikubwa vya kupata huduma za afya ya akili. Chagua kuishi maisha yenye uwezo, pambana na unyanyapaa.","Puonjri weche mag tuoche mag paro, mondo ibed jaland lokruok, kiwuoyo e wi tuoche mag paro. Buono ji kod achaya gin gik madongo ma geng'o ji yudo kony mag thieth mar paro. Yier dak e ngima ma nigi teko, kedo gi wich kuot.",original_baseline_dataset,2026-07-11,PSA
