PSA_Id,Domain,English,Kiswahili,Dholuo,Kiswahili_accurate,Dholuo_accurate,Reviewer_comments,Corrected_Dholuo,Corrected_Kiswahili
4803,Governance,Access national ID replacement through your county government's official channels.,Pata ubadilishaji wa kitambulisho cha taifa kupitia njia rasmi za serikali ya kaunti yako.,Yudo loch mar ID mar piny kokalo kuom chanel ma sirkal mar kaunti mari.,Yes,Yes,,,
5014,Governance,Understanding public participation in law-making makes it easier to report nepotism in hiring when you see it.,Kuelewa ushiriki wa umma katika utungaji sheria hurahisisha kuripoti upendeleo katika uajiri unapoiona.,Ng'eyo kaka oganda ng'ado bura e loso chike miyo bedo mayot mondo ior ripot mar ng'anjo e ng'ado tich ka inene.,Yes,Yes,,,
4511,Security & Safety,Communities facing lightning strikes should follow workplace safety standards issued by county disaster teams.,Jamii zinazokabiliwa na mapigo ya radi zinapaswa kufuata viwango vya usalama mahali pa kazi zilizotolewa na timu za maafa za kaunti.,Jodak ma yudo masira mag mil polo onego oluw chike mag arita mag kar tich ma ogol gi jokanyo mag kaunti mag masira.,Yes,Yes,,,
5045,Governance,Officials encourage citizens to combine community development meetings participation with awareness of the devolution process.,Maafisa wanahimiza wananchi kuchanganya ushiriki katika mikutano ya maendeleo ya jamii na uelewa wa mchakato wa ugatuzi.,Jotelo jiwo jodak mondo oket kanyakla bedo e chokruoge mag dongruok mag oganda kod ng'eyo kaka inyalo keto loch e lwetgi.,Yes,Yes,,,
3825,Education,Any teacher absenteeism affecting learners at Junior Secondary School should be raised during infrastructure development plans discussions.,walimu kutohudhuria yoyote inayoathiri wanafunzi katika shule ya upili ya chini inapaswa kuibuliwa wakati wa majadiliano ya mipango ya uendelezaji wa miundombinu.,"Ka japuonj moro amora ma ok dhi e skul ma mulo jopuonjre e skul mar sekondari, onego oketgi e kinde ma itimoe mbaka mag chenro mag dongruok mar gedo mag piny.",Yes,Yes,,,
4139,Health,Vaccinate your child against hepatitis B at your nearest health centre.,Chanja mtoto wako dhidi ya homa ya ini aina B katika kituo cha afya cha karibu.,Chiw nyathini chanjo mar hepatitis B e kar thieth man machiegni kodi.,Yes,Yes,,,
3697,Agriculture,Combine using certified seeds with proper spacing to boost your coffee yield.,Changanya kutumia mbegu zilizothibitishwa na nafasi sahihi ili kuongeza mavuno ya kahawa.,Kod tiyo kod kodhi ma nigi oboke ma nyiso ni nitie thuolo mowinjore mondo omed ng'eny mar kahawa mari.,Yes,Yes,,,
71,Education,Attend CBC forum on February 20 at county hall.,Hudhuria jukwaa la CBC mnamo Februari 20 katika ukumbi wa kaunti.,Dhi e romo mar CBC e Februar 20 e od bura mar kaunti.,Yes,Yes,,,
4495,Security & Safety,"During displacement crises, always keep emergency contacts on hand in case of lightning strikes.","Wakati wa migogoro ya kuhamishwa, weka nambari za dharura karibu endapo kutakuwa na mapigo ya radi.","E kinde mag masira mag weyo udigi, kinde duto bed gi jogo ma inyalo tudruokgo mapiyo kapo ni mil polo omako.",Yes,Yes,,,
4749,Governance,The county government invites residents to anti-corruption awareness campaigns scheduled for this month.,Serikali ya kaunti inawaalika wakazi kwenye kampeni za uhamasishaji dhidi ya ufisadi iliyopangwa mwezi huu.,Sirkal mar kaunti rwako jodak mondo odhi e kampen mag puonjo ji e wi tim mag ketho chik ma ibiro timo e dwe mar apar.,Yes,Yes,,,
361,Education,Install solar power in remote schools 2020.,Sakinisha umeme wa jua katika shule za mbali 2020.,Ket teko mar chieng' e skunde man kuonde maboyo e higa 2020.,Yes,Yes,,,
3494,Agriculture,Vaccinate your donkeys against mastitis before the rainy season.,Chanja punda yako dhidi ya maambukizi ya kiwele kabla ya msimu wa mvua.,Inyalo keto ng'ombe mari chanjo mar geng'o tuo mar master kapok kinde koth ochopo.,Yes,No,"""donkeys"" mistranslated as ng'ombe (cattle).",Chiw punda mari chanjo mar geng'o tuo mar mastitis kapok kinde koth ochopo.,
4932,Governance,"To fight corruption, the county is promoting local development planning sessions alongside easier access to disability registration services.","Ili kupambana na ufisadi, kaunti inahamasisha vikao vya upangaji wa maendeleo ya eneo pamoja na upatikanaji rahisi wa huduma za usajili wa ulemavu.","Mondo oked gi tim mag ketho chik, kauntino loso chenro mag dongruok mag alwora kaachiel gi yudo mayot mar ndiko nying' jogo ma nigi nyawo mag del.",Yes,Yes,,,
1294,Agriculture,Adopting sustainable crop rotation methods protects the environment and ensures long-term productivity for cattle.,Kutumia mbinu endelevu za mzunguko wa mazao hulinda mazingira na kuhakikisha uzalishaji wa muda mrefu kwa ng'ombe.,Tiyo gi yore mabeyo mag pidho cham konyo rito alwora kendo miyo dhok yudo cham ma biro siko.,Yes,Yes,,,
1450,Agriculture,"Learn about extension services available in your area from KALRO. Know how to access advice, training, and support.","Jifunze kuhusu huduma za ugani zinazopatikana katika eneo lako kutoka KALRO. Jua jinsi ya kupata ushauri, mafunzo, na usaidizi.",Som weche momedore e wi tije ma konyo ji e alwora ma intiere kowuok e KALRO.,Yes,Yes,,,
4839,Governance,"To reduce unfair resource allocation, the county is expanding access to disability registration services this year.","Ili kupunguza ugawaji usio wa haki wa rasilimali, kaunti inapanua upatikanaji wa huduma za usajili wa ulemavu mwaka huu.","Mondo ogeng' ng'iewo mwandu ma ok owinjore, kauntino medo ng'iewo gik moko e higa ni.",Yes,No,Duplicate translation shared with another row (passport/disability registration mix-up).,"Mondo ogeng' pogo mwandu ma ok winjore, kaunti medo yudo mayot mar ndiko nying' jogo ma nigi nyawo mag del e higa ni.",
3477,Agriculture,Protect your sorghum from fall armyworm by rotating crops.,Linda mtama yako dhidi ya funza jeshi kwa kubadilisha mazao.,Rik cham mari mondo kik oyud winyo ma ng'ato nyalo yudo kuom loko cham.,Yes,Yes,,,
2936,Governance,"Appointment of Returning and Deputy Returning Officers for Purposes of the By-Elections for Member of National Assembly for Olkalou Constituency, Nyandarua County Scheduled to be held on Thursday, 16th July, 2026","Uteuzi wa Wasimamizi wa Uchaguzi na Manaibu Wasimamizi wa Uchaguzi kwa Madhumuni ya Uchaguzi Mdogo wa Mbunge wa Jimbo la Olkalou, Kaunti ya Nyandarua Uliopangwa kufanyika Alhamisi, Julai 16, 2026.","Oketo jotelo mabiro yiero kod jotelo ma luwogi mondo otim yiero mabiro timore mar Jatend Bura mar Pinyruoth e Distrikt mar Olkalou, e Distrik mar Nyandarua.",Yes,Yes,,,
4734,Security & Safety,Anyone who witnesses a road accident during fire disasters should alert authorities immediately.,Yeyote anayeshuhudia ajali ya barabarani wakati wa majanga ya moto anapaswa kuarifu mamlaka mara moja.,"Ng'at ang'ata ma neno masira mar yo e kinde ma masira mar mach timore, onego onyis jotelo mapiyo.",Yes,Yes,,,
108,Education,Civic education now 30% of Grade 9 final score – download free notes from KICD TODAY!,Elimu ya uraia sasa 30% ya alama ya mwisho ya Daraja la 9 – pakua madokezo ya bure kutoka KICD TODAY!,Puonjruok mar oganda sani 30% mar penj mogik mar klas 9 download free notes from KICD TODAY!,Yes,Yes,,,
2682,Governance,"Canada wishes IEBC success in #ECVR2021, urges citizens to register as their vote matters.","Kanada inaitakia IEBC mafanikio katika #ECVR2021, inawasihi raia kujiandikisha kwani kura zao ni muhimu.","Kanada dwaro ni IEBC otim dongruok e #ECVR2021, dwaro ni ji duto odonjre kaka joma biro goyo ombulu nikech ombuchgi en gima duong ahinya.",Yes,Yes,,,
4862,Governance,"To fight delayed government services, the county is promoting county budget consultations alongside easier access to business permit applications.","Ili kupambana na huduma za serikali kuchelewa, kaunti inahamasisha mashauriano ya bajeti ya kaunti pamoja na upatikanaji rahisi wa maombi ya leseni za biashara.","Mondo oked gi tich ma sirkal timo ma dero, kauntino kelo paro mag bajet mar kaunti kaachiel gi yudo mayot mar kwayo oboke mar timo ohala.",Yes,Yes,,,
1316,Agriculture,Awareness creation of smallholder farmers on and adoption of push-pull technology reduces fall armyworm (Spodoptera frugiperda) infestation on ...,Kuunda uelewa wa wakulima wadogo kuhusu na kutumia teknolojia ya kusukuma-vuta hupunguza uvamizi wa viwavi jeshi la kuanguka (Spodoptera frugiperda) kwenye ...,"Bedo gi ng'eyo kuom kaka jopur matindo nyalo loso kod kaka ginyalo tiyo gi teknoloji mar riembo ji e yo maber, miyo ogolo mag jolweny (Spodoptera frugiperda) ok nyal makowa ahinya.",Yes,Yes,,,
2985,Governance,Appointment of Second Deputy Constituency Returning Officers for the General Election Scheduled to be held on 9th August 2022,Uteuzi wa Naibu wa Pili wa Wasimamizi wa Uchaguzi wa Majimbo kwa ajili ya Uchaguzi Mkuu uliopangwa kufanyika tarehe 9 Agosti 2022.,Oketo jotelo ma luwo ariyo mag yiero mabiro timore tarik 9 dwe mar aboro higa mar 2022,Yes,Yes,,,
2572,Governance,"We encourage other schools and the public to follow suit and ensure plastics are properly recycled,â '¬  he said.","Tunahimiza shule zingine na umma kufuata mkondo huo na kuhakikisha plastiki zinasindikwa ipasavyo, alisema.",Owacho ni wajiwo skunde mamoko kod ji duto mondo oluw ranyisino kendo gitim duto ma ginyalo mondo gine ni plastik owiti e yo mowinjore.,Yes,Yes,,,
1862,Security & Safety,"""We urge Kenyans to double-check the legitimacy of any NGO requesting donations via mobile payment. Many have been flagged for fraud.""","""Tunawahimiza Wakenya kuangalia upya uhalali wa shirika lolote lisilo la kiserikali linaloomba michango kupitia malipo ya simu. Mengi yametajwa kwa ulaghai.""","""Wakwayo jo Kenya mondo onon ane ni riwruok moro amora mar NGO ma kwayo chiwo kokalo kuom pesa mitimo e yor simo en riwruok mar oganda Nyasaye.",Yes,No,Truncated and the ending reads as garbled/non-sequitur.,"""Wakwayo Jo-Kenya mondo onon malo malo ni riwruok moro amora mar NGO ma kwayo chiwo kokalo kuom pesa mag simo en adier. Mang'eny kuomgi oseyudi ka gin gi wuond.""",
3585,Agriculture,Protect your sugarcane from root rot by rotating crops.,Linda miwa yako dhidi ya kuoza kwa mizizi kwa kubadilisha mazao.,Rit mzabibu mari mondo kik otur kuom loko cham.,Yes,Yes,,,
142,Education,"Deputy President William Ruto on Wednesday ordered the Ministry of Education to purchase a new generator for the Kenya Technical Trainers College (KTTC). The directive by Ruto came after his speech, w...","Naibu Rais William Ruto siku ya Jumatano aliamuru Wizara ya Elimu kununua jenereta mpya kwa ajili ya Chuo cha Wakufunzi wa Ufundi cha Kenya (KTTC). Agizo hilo la Ruto lilikuja baada ya hotuba yake, w...","Jalup Ker William Ruto ne ochiko e odiechieng' Tich Adek ni Migawo mar Puonjruok mondo ong'iew masin manyien mar kelo stima ne Kenya Technical Trainers College (KTTC). Chik ma Ruto ne ochiwo ne obiro bang' twak ma ne ogolo, ma...",Yes,Yes,,,
1391,Agriculture,"For IFAD, this shows why digital agriculture needs to be at the very heart of its work. As the world's poorest people face spiralling food ...","Kwa IFAD, hii inaonyesha kwa nini kilimo cha kidijitali kinahitaji kuwa kitovu cha kazi yake. Huku watu maskini zaidi duniani wakikabiliwa na ongezeko la chakula ...","Kuom ISEAD, mano nyiso gimomiyo pur mar digital onego obed gima duong' ahinya e tijno.",Yes,Yes,,,
3406,Agriculture,The coffee seedling development programme is now open — visit your county office to apply.,mpango wa uendelezaji wa miche ya kahawa sasa imefunguliwa — tembelea ofisi ya kaunti yako kuomba.,Program mar loso kodhi mag kahawa sani oyabere — dhi e ofis mar kaunti mari mondo ior kwayo.,Yes,Yes,,,
1725,Security & Safety,Domestic violence harms children. Report incidents to local authorities or child helplines.,Vurugu za nyumbani huwadhuru watoto. Ripoti matukio kwa mamlaka za mitaa au simu za usaidizi kwa watoto.,Dhaw e udi nyalo hinyo nyithindo. Omiyo jonyuol onego ochiw ripot kagiparo ni nitie nyithindo misando,Yes,No,"Second half is garbled/unclear (""misando"" does not correspond to ""child helplines"").",Dhaw e udi nyalo hinyo nyithindo. Chiw ripot mar gik ma timore ne jotelo mag alworani kata namba mag kony ne nyithindo.,
4315,Health,Attend your nearest clinic for dental checkups this month.,Hudhuria kliniki ya karibu kwa uchunguzi wa meno mwezi huu.,Dhi e klinik man machiegni kodi mondo itimne nonro mar lak e dwe mar apar.,Yes,Yes,,,
1570,Agriculture,"The strategy aims to transform Kenya's food system to be healthy, inclusive, environmentally sustainable, and resilient, using agroecology, which integrates ...","Mkakati huu unalenga kubadilisha mfumo wa chakula wa Kenya kuwa na afya njema, jumuishi, endelevu kimazingira, na ustahimilivu, kwa kutumia kilimo ikolojia, ambacho kinajumuisha ...","Chenrono dwaro ni Kenya olok chiemo obed maber, maber, mosiko, kendo mosiko, kotiyo gi agroecology, ma en chenro mar loso ...",Yes,Yes,,,
2514,Governance,"The Public is urged to report any incidences of recruitment malpractices to the nearest Police Station or call 0709099000, 999, 911,112 or #fichuakwaDCI 0800722203.","Umma unahimizwa kuripoti matukio yoyote ya ukiukwaji wa sheria za ajira kwa Kituo cha Polisi kilicho karibu au piga simu 0709099000, 999, 911,112 au #fichuakwaDCI 0800722203.","Oganda duto ijiwo mondo ochiw ripot mag mibadhi e ndikruok stesend obila machiegni kodgi kata gigochne 0709099000, 999, 911,112 kata #chiwo wach ne apisa ma timo norno 0800722203.",Yes,Yes,,,
4641,Security & Safety,Stay informed on disease outbreak alerts and follow curfew regulations to keep your family safe.,Endelea kufahamishwa kuhusu tahadhari za milipuko ya magonjwa na ufuate kanuni za amri ya kutotoka nje kuweka familia yako salama.,Bed gi ng'eyo ewi lendo mag tuoche kendo luwo chike mag kafiu mondo orit joodu maber.,Yes,Yes,,,
3716,Agriculture,Protect your cotton from drought by applying organic manure.,Linda pamba yako dhidi ya ukame kwa kutumia mbolea ya asili.,Riek pamba mari mondo kik obed gi oro kuom keto lum ma onge gik ma dongo dongo.,Yes,Yes,,,
455,Education,No learner to walk more than 5km to school – free buses deployed in rural areas!,"Hakuna mwanafunzi anayeruhusiwa kutembea zaidi ya kilomita 5 kwenda shuleni, mabasi ya bure yanapelekwa vijijini!",Onge japuonjre mabiro wuotho mokalo kilomita abich mondo odhi e skul gi bas ma onge chudo moketi e gwenge maboyo!,Yes,Yes,,,
922,Health,Communities can come together to support individuals facing both mental health issues and substance use challenges through several strategies,Jamii zinaweza kukusanyika pamoja ili kuwasaidia watu wanaokabiliwa na matatizo ya afya ya akili na changamoto za matumizi ya dawa za kulevya kupitia mikakati kadhaa.,Dibed ni chandruogeni en pesa? Kik ibed ng'ama chich gi paro ma ok owinjore!,Yes,No,Dholuo text is about an unrelated topic entirely -- does not match the English/Kiswahili meaning.,"Oganda nyalo riwore kanyakla mondo okony joma nigi chandruok mar paro kod joma tiyo marach gi weche machandogi, kokalo kuom yore mopogore opogore.",
2215,Security & Safety,Media Council of Kenya urged journalists to report violent extremism responsibly with emphasis on fact checking and ethical coverage to avoid amplifying radical narratives.,"Baraza la Habari la Kenya liliwahimiza waandishi wa habari kuripoti itikadi kali za kikatili kwa uwajibikaji, wakisisitiza kuangalia ukweli na uandishi wa maadili ili kuepuka kukuza masimulizi ya kikatili.","Bura mar Joote Kenya ne ojiwo jondik weche mondo onyis timbe gero mag gero e yo mowinjore, ka giketo pek ahinya kuom nono adiera kod nyiso timbe mabeyo mondo kik giwuo kuom weche ma kelo timbe gero.",Yes,Yes,,,
1317,Agriculture,"Be inspired by the story of Kitale Growers Group, a successful example of increased yields in Tharaka Nithi.","Pata msukumo kutoka kwa hadithi ya Kitale Growers Group, mfano mzuri wa mavuno yaliyoongezeka huko Tharaka Nithi.","Nikech ne omor gi sigand Jo-Farmer Group, ne oketo ranyisi maber mar chwoyo cham e Tharaka Nithi.",Yes,Yes,,,
2012,Security & Safety,Install motion-activated lights in dark areas around your property.,Sakinisha taa zinazowezesha mwendo katika maeneo yenye giza karibu na nyumba yako.,Ket ler ma rieny e alwora ma mudho nitie.,Yes,Yes,,,
4419,Security & Safety,Communities facing drought should follow fire safety precautions issued by county disaster teams.,Jamii zinazokabiliwa na ukame zinapaswa kufuata tahadhari za usalama wa moto zilizotolewa na timu za maafa za kaunti.,Oganda maromo gi oro onego oluw okenge mag arita mar mach moketi gi riwruoge mag masira mag kaunti.,Yes,Yes,,,
3713,Agriculture,Protect your groundnuts from fungal blight by using certified seeds.,Linda karanga yako dhidi ya ugonjwa wa fangasi kwa kutumia mbegu zilizothibitishwa.,Rit ng'injo mari mondo kik oyud tuoche mag fungi kuom tiyo kod kodhi ma nigi oboke ma nyiso ni ng'ato nigi oboke.,Yes,No,"""groundnuts"" mistranslated as ng'injo.",Rit njugu mari mondo kik oyud tuoche mag fungi kuom tiyo kod kodhi ma nigi oboke.,
3367,Agriculture,Keep your dairy cows healthy by monitoring for signs of rabies.,Weka ng'ombe wa maziwa wako na afya kwa kuchunguza dalili za kichaa cha mbwa.,Ket dhiang' magi mag chak obed gi ngima maber kuom luwo ranyisi mag tuo mar rabies.,Yes,Yes,,,
2190,Security & Safety,"JLTM NGO documented over 500 protest-related arrests, urging release of minors and access to legal representation.","Shirika lisilo la kiserikali la JLTM lilirekodi zaidi ya watu 500 waliokamatwa kuhusiana na maandamano, likihimiza kuachiliwa kwa watoto na kupata uwakilishi wa kisheria.","JLTM NGO ne ondiko weche mokalo 500 motudore gi makruok gi ji, ka gikwayo ni ogony nyithindo matindo kendo mondo giyud thuolo mar bedo e bwo chik.",Yes,Yes,,,
390,Education,"Ksh 30,000 HELB graduation loan released – apply via app in 2 minutes!","Mkopo wa kuhitimu wa HELB wa Ksh 30,000 umetolewa – tuma maombi kupitia programu ndani ya dakika 2!","Ksh 30,000 HELB ma en pesa ma ng'ato nyalo yudo bang' tieko skul, osegol oko. Ti gi app e dakika 2!",Yes,Yes,,,
1320,Agriculture,"Biotechnology advances are reshaping agriculture and improving food security among other spheres. However, agricultural biotechnology is a relatively ...","Maendeleo ya bioteknolojia yanabadilisha kilimo na kuboresha usalama wa chakula miongoni mwa nyanja zingine. Hata hivyo, bioteknolojia ya kilimo ni ...","Dongruok mar teknoloji mag pur medo dongruok e pur kod chiemo e pinje mamoko. Kata kamano, teknoloji mag pur chalo gi ......",Yes,Yes,,,
4027,Education,The digital learning devices programme now covers learners at pre-primary school facing financial hardship.,mpango wa vifaa vya kujifunzia vya kidijitali sasa inahusisha wanafunzi katika shule ya chekechea wanaokabiliwa na ugumu wa kifedha.,Program mar gige somo mag dijital sani oriwo jopuonjre ma ni e skul ma pok ochako somo ma yudo pek mag pesa.,Yes,Yes,,,
2460,Security & Safety,Train citizens on accessing government documents.,Wafunze raia kuhusu kupata hati za serikali.,Tieg raia mondo obed gi thuolo mar somo buge mag sirkal.,Yes,Yes,,,
495,Education,Project helps Nairobi schools access teacher training and learning tools.,Mradi husaidia shule za Nairobi kupata mafunzo ya walimu na zana za kujifunzia.,Chenrono konyo skunde mag Nairobi yudo tiegruok mar jopuonj kod gige puonjruok.,Yes,Yes,,,
346,Education,IEBC voter registration starts Monday – bring ID to your school or chief's office NOW!,Usajili wa wapiga kura wa IEBC unaanza Jumatatu. Lete kitambulisho shuleni kwako au ofisini kwa mkuu wa shule SASA!,IEBC chako ndiko ji e ombulu chieng' Tich Ariyo. Kel kad mar injili e skul kata e ofis mar jatend skul KINDEGI!,Yes,Yes,,,
97,Education,Build your future! Join TVET programs for technical skills.,Jenga mustakabali wako! Jiunge na programu za TVET kwa ujuzi wa kiufundi.,Los ngimani obed maber! Donj e chenro mag tiegruok e weche mag teknoloji.,Yes,Yes,,,
4225,Health,Parents should watch for persistent cough in children and seek child growth monitoring promptly.,Wazazi wanapaswa kuchunga kikohozi cha kudumu kwa watoto na kutafuta ufuatiliaji wa ukuaji wa mtoto haraka.,Jonyuol onego orit ka nyathino bedo gi ahola ma ok rum kendo giyud luwo dongruok mar nyathi mapiyo.,Yes,Yes,,,
359,Education,Inspect school buses 2020.,Kagua mabasi ya shule 2020.,Nonuru mtokni mag skul 2020.,Yes,Yes,,,
602,Education,Sew your future! Join textile vocational courses in Kitui.,Shona mustakabali wako! Jiunge na kozi za ufundi wa nguo huko Kitui.,Bed gi geno kuom kinde mabiro! Donj e tiegruok mag tije mag tweng'o e Kitui.,Yes,Yes,,,
1215,Health,"Kenya confirms three new Mpox cases from Nairobi, Nakuru and Mombasa counties, this brings the total to 17, Health CS Barasa says.","Kenya yathibitisha visa vitatu vipya vya Mpox kutoka kaunti za Nairobi, Nakuru na Mombasa, hii inafikisha jumla ya visa 17, Waziri wa Afya Barasa anasema.","Kenya onyiso ji adek manyien ma nigi tuwo mar Mpox koa Nairobi, Nakuru kod Mombasa, ma kelo kwan duto mar ji 17, Health CS Barasa wacho.",Yes,Yes,,,
1973,Security & Safety,"Use strong padlocks for gates and sheds - avoid cheap, easy-to-cut locks.",Tumia kufuli imara kwa malango na vibanda - epuka kufuli za bei rahisi na rahisi kukata.,Ti gi yiende motegno e dhoudi kod ute mag joma ok nyal yieyo.,Yes,Yes,,,
5008,Governance,Citizens are encouraged to join local development planning sessions organised by the county government.,Wananchi wanahimizwa kujiunga na vikao vya upangaji wa maendeleo ya eneo zinazoandaliwa na serikali ya kaunti.,Jodak jiwo mondo odonj e chokruoge mag keto chenro mag dongruok mag gwenge ma sirkal mar kaunti oloso.,Yes,Yes,,,
2156,Security & Safety,Authorities issued detailed Cyclone Hidaya safety guidance urging coastal residents to secure property and avoid non-essential travel.,Mamlaka yalitoa mwongozo wa kina wa usalama wa Kimbunga Hidaya kikiwataka wakazi wa pwani kulinda mali na kuepuka usafiri usio wa lazima.,Sirkal ne ogolo weche matut e wi weche mag ritruok mag kodh yamo mag Hurricane Hidaya ka gikwayo jogweng' manie nam mondo orit mwandugi kendo gitang' gi wuoth maok ochuno.,Yes,Yes,,,
2882,Governance,"Citizens should report corruption cases to hotline 999, 911, or 112.","Raia wanapaswa kuripoti kesi za ufisadi kwa simu ya dharura 999, 911, au 112.","Jopiny onego ochiw lipode mag koso arita kwe e namba mar 999, 911, kata 112.",Yes,Yes,,,
4709,Security & Safety,Report any suspicious activity to the nearest police station immediately.,Ripoti shughuli za kutiliwa shaka yoyote kwa kituo cha polisi cha karibu mara moja.,Chiw ripot mar tim moro amora ma igeno ni itimo ne obila man machiegni mapiyo.,Yes,Yes,,,
620,Education,Stay alert! Avoid unsafe routes to school in banditry zones.,Kuwa macho! Epuka njia zisizo salama za kwenda shuleni katika maeneo ya majambazi.,Beduru motang'! Tang' gi yore maok ler mag dhi e skul e gwenge mopong' gi jo mahundu.,Yes,Yes,,,
1694,Security & Safety,"Institutions must coordinate across sectors to provide effective, compassionate responses to survivors.",Taasisi lazima ziratibu katika sekta mbalimbali ili kutoa majibu yenye ufanisi na huruma kwa waathirika.,Oganda onego oriw lwedo tije mopogore opogore mondo ojiw joma osekale masira,Yes,Yes,,,
3372,Agriculture,The farmer training programme is now open — visit your county office to apply.,mpango wa mafunzo ya wakulima sasa imefunguliwa — tembelea ofisi ya kaunti yako kuomba.,Program mar puonjo jopur sani oyabere — dhi e ofis mar kaunti mari mondo ior kwayo.,Yes,Yes,,,
3013,Governance,"Corrigenda - Appointment of Returning and Deputy Returning Officers for Purposes of the By–elections Of Members of Eldas, Kiagu and Nguu/Masumba Wards of Wajir, Meru and Makueni County Assemblies scheduled to be held on 14th October, 2021","Corrigenda - Uteuzi wa Wasimamizi wa Uchaguzi na Naibu Wasimamizi wa Uchaguzi kwa Madhumuni ya Uchaguzi Mdogo wa Wanachama wa Eldas, Kiagu na Nguu/Masumba Wadi za Mabunge ya Wajir, Meru na Makueni Kaunti iliyoratibiwa kufanyika tarehe 14 Oktoba, 2021.","- Keto jotelo mabiro yiero kod jotelo ma luwogi mondo otim yiero matin mag jokanyo mag gwenge mag Eldas, Kiagu kod Nguu/Masumba mag Wajir, Meru kod Makueni ma oket mondo otimre tarik 14 dwe mar apar higa mar 2021",Yes,Yes,,,
352,Education,Include everyone! Ensure schools accommodate students with disabilities.,Jumuisha kila mtu! Hakikisha shule zinawapa nafasi wanafunzi wenye ulemavu.,Ji duto mondo oriwre! Neno ni skunde rwako jopuonjre ma nigi midekre.,Yes,Yes,,,
2160,Security & Safety,Authorities notified the public of an Al-Shabaab attack in Garissa and urged vigilance as additional troops were deployed.,Mamlaka iliwaarifu umma kuhusu shambulio la Al-Shabaab huko Garissa na kuhimiza kuwa macho huku wanajeshi wengine wakipelekwa.,Sirkal ne onyiso ji ni Al-Shabaab ne omonjo Garissa kendo ne gikwayo ji mondo obed motang' nikech ne omed jolweny mamoko.,Yes,Yes,,,
4199,Health,Health workers recommend learning about mental health support alongside practicing safe food handling at home.,Wahudumu wa afya wanapendekeza kujifunza kuhusu usaidizi wa afya ya akili pamoja na kufanya utunzaji salama wa chakula nyumbani.,Jotich mag thieth nyiso ni onego opuonjre kuom konyo thieth mar paro kaachiel gi puonjruok mar rito chiemo maber e ot.,Yes,Yes,,,
2040,Security & Safety,Usifanye maonyesho ya mali thamani kwa umma - weka kwa siri na salama.,Usifanye maonyesho ya mali thamani kwa umma - weka kwa siri na salama.,Kik itim gima nyiso ni in gi nengo maduong' ne oganda - weka kwa siri na salama.,Yes,No,"Source English cell itself contains Swahili text (data issue, not translator error); Dholuo output still leaves part of the sentence untranslated in Swahili (""weka kwa siri na salama"").",Kik itim gima nyiso ni in gi nengo maduong' ne oganda - ket kama opandi kendo maber.,
5037,Governance,"To reduce electoral malpractice, the county is expanding access to voter registration updates this year.","Ili kupunguza udanganyifu wa uchaguzi, kaunti inapanua upatikanaji wa masasisho ya usajili wa wapiga kura mwaka huu.","Mondo ogeng' tim marach mag yiero, kaunti medo yudo weche ma manyien mag ndiko nying' jogo ma dhi goyo ombulu e higa ni.",Yes,Yes,,,
3854,Education,Any bullying affecting learners at Grade 6 should be raised during the CBC curriculum transition discussions.,unyanyasaji yoyote inayoathiri wanafunzi katika darasa la sita inapaswa kuibuliwa wakati wa majadiliano ya mpito wa mtaala wa CBC.,Gimoro amora ma nyalo ketho nyithindo ma ni e klas mar 6 onego oketgi e kinde ma itimoe mbaka mag loko chenro mar somo mar CBC.,Yes,Yes,,,
2749,Governance,ODM Leader Raila Odinga urges residents of Migori County to register as party members.,Kiongozi wa ODM Raila Odinga awahimiza wakazi wa Kaunti ya Migori kujiandikisha kama wanachama wa chama.,Jatend riwruok mar ODM Raila Odinga jiwo ji duto modak e kaunti ma Migori mondo ondikre kaka jokanyo mar duond od bura.,Yes,Yes,,,
3995,Education,Any teacher absenteeism affecting learners at Junior Secondary School should be raised during digital literacy programmes discussions.,walimu kutohudhuria yoyote inayoathiri wanafunzi katika shule ya upili ya chini inapaswa kuibuliwa wakati wa majadiliano ya mipango ya ujuzi wa kidijitali.,"Ka japuonj moro amora ma ok dhi e skul ma mulo jopuonjre e Skul mar Sekondari, onego oting' e kinde ma itimo mbaka mag chenro mag somo kod ndiko mag dijital.",Yes,Yes,,,
200,Education,"Enhanced security for 2025 exams: personalized papers, no phones.","Usalama ulioimarishwa kwa mitihani ya 2025: karatasi za kibinafsi, hakuna simu.","Ritruok momedore ne penj mar 2025: kalatese ma ng'ato owuon ema biro ndiko, maonge simo.",Yes,Yes,,,
697,Education,Train on emergency response 2021.,Treni ya dharura 2021.,Tieguru ji kaka ginyalo chiwo kony e kinde mag masira.,Yes,Yes,,,
3245,Health,"In the week ending 25 June 2017, 18 samples out of 25 tested positive for Vibrio cholerae Ogawa by culture at the National Public Health Laboratory in Nairobi.","Wiki inayoishia tarehe 25 Juni 2017, sampuli 18 kati ya 25 zilithibitishwa kuwa na Vibrio cholerae Ogawa kulingana na utamaduni katika Maabara ya Kitaifa ya Afya ya Umma jijini Nairobi.","E juma mane orumo tarik 25 dwe mar auchiel higa mar 2017, sampol 18 kuom sampol 25 ne oyudi gi midhusi mar kolera kaluwore gi kit oganda e Kar Rang'iny mar Thieth mar Oganda ma Nairobi.",Yes,Yes,,,
