PSA_Id,Domain,English,Kiswahili,Ekegusii,Class,Source,English_clean,Kiswahili_clean,Ekegusii_clean,codeswitch_tokens,has_codeswitch,ekegusii_caps_ratio,codeswitch_tokens_v2,is_boilerplate,English_clean_n_words,English_clean_n_tokens,Kiswahili_clean_n_words,Kiswahili_clean_n_tokens,Ekegusii_clean_n_words,Ekegusii_clean_n_tokens,English_clean_tokens_str,Kiswahili_clean_tokens_str,Ekegusii_clean_tokens_str
610,Education,Special needs learners get free assistive devices – collect from county office!,Wanafunzi wenye mahitaji maalum wanapata vifaa vya usaidizi bila malipo ambavyo – hukusanywa kutoka ofisi ya kaunti!,"Abana baria baganetie ogokonywa kwa beene nkonyora bare ebinto bikobakonya gosoma bosa, nyora ebiao korwa eofisi yekaonti!",PSA,original_baseline_dataset,Special needs learners get free assistive devices – collect from county office!,Wanafunzi wenye mahitaji maalum wanapata vifaa vya usaidizi bila malipo ambavyo – hukusanywa kutoka ofisi ya kaunti!,"Abana baria baganetie ogokonywa kwa beene nkonyora bare ebinto bikobakonya gosoma bosa, nyora ebiao korwa eofisi yekaonti!",[],FALSE,0.009615385,[],FALSE,12,15,17,38,17,44,Special needs learn ##ers get free assist ##ive devices [UNK] collect from county office !,Wan ##af ##un ##zi we ##nye mah ##ita ##ji maal ##um wa ##nap ##ata vi ##fa ##a vya usa ##idi ##zi bila mali ##po amb ##avy ##o [UNK] hu ##kus ##any ##wa kutoka of ##isi ya kaunti !,"Ab ##ana bar ##ia bag ##ane ##tie og ##okon ##ywa kwa been ##e n ##kon ##yor ##a bare e ##bin ##to bi ##koba ##kon ##ya go ##soma bos ##a , ny ##ora e ##bia ##o kor ##wa eo ##fis ##i ye ##kao ##nti !"
611,Education,"Special needs learners: Apply for Ksh 50,000 annual grant before December 15.","Wanafunzi wenye mahitaji maalum: Tuma maombi ya ruzuku ya kila mwaka ya Ksh 50,000 kabla ya Desemba 15.","Abana baria baganetie ogokonywa kwa beene : Toma ogasaba kwao onyore chibesa chiao chiomwaka 50,000 nyuma yechitariki 15 omotienyi 12.",PSA,original_baseline_dataset,"Special needs learners: Apply for Ksh 50,000 annual grant before December 15.","Wanafunzi wenye mahitaji maalum: Tuma maombi ya ruzuku ya kila mwaka ya Ksh 50,000 kabla ya Desemba 15.","Abana baria baganetie ogokonywa kwa beene : Toma ogasaba kwao onyore chibesa chiao chiomwaka 50,000 nyuma yechitariki 15 omotienyi 12.",[],FALSE,0.019417476,[],FALSE,12,19,18,36,20,48,"Special needs learn ##ers : App ##ly for K ##sh 50 , 000 annual grant before December 15 .","Wan ##af ##un ##zi we ##nye mah ##ita ##ji maal ##um : Tu ##ma mao ##mbi ya ru ##zu ##ku ya kila mwaka ya K ##sh 50 , 000 ka ##bla ya Des ##emba 15 .","Ab ##ana bar ##ia bag ##ane ##tie og ##okon ##ywa kwa been ##e : Toma og ##asa ##ba kwa ##o on ##yor ##e chi ##bes ##a chia ##o chi ##om ##wak ##a 50 , 000 ny ##uma ye ##chi ##tari ##ki 15 om ##oti ##eny ##i 12 ."
612,Education,"SPEECH BY HIS EXCELLENCY HON. UHURU KENYATTA, C.G.H., PRESIDENT OF THE REPUBLIC OF KENYA AND COMMANDER-INCHIEF OF THE DEFENCE FORCES DURING THE MASHUJAA DAY STATE ADDRESS ON, 20TH OCTOBER, 2021 DISTIN...","HOTUBA YA MHESHIMIWA MHESHIMIWA UHURU KENYATTA, C.G.H., RAIS WA JAMHURI YA KENYA NA Amiri Jeshi Mkuu wa Majeshi ya Ulinzi Wakati wa Hotuba ya Kitaifa ya Siku ya Mashujaa mnamo, 20 Oktoba, 2021 DISTIN...","EKWANA YOMORAISI YOMOSIKE: UHURU KENYATTA, C.G.H., EPURESIDENTI YENSE YA KENYA NAENDE OMONENE BWAMACHESI EKERO KIAERITUKO RIA MASHUJAA GOKWANERA ENSE CHITARIKI, 20 OMOTIENYI 10 OMWAKA, 2021 ABASIKE...",PSA,original_baseline_dataset,"SPEECH BY HIS EXCELLENCY HON. UHURU KENYATTA, C.G.H., PRESIDENT OF THE REPUBLIC OF KENYA AND COMMANDER-INCHIEF OF THE DEFENCE FORCES DURING THE MASHUJAA DAY STATE ADDRESS ON, 20TH OCTOBER, 2021 DISTIN...","HOTUBA YA MHESHIMIWA MHESHIMIWA UHURU KENYATTA, C.G.H., RAIS WA JAMHURI YA KENYA NA Amiri Jeshi Mkuu wa Majeshi ya Ulinzi Wakati wa Hotuba ya Kitaifa ya Siku ya Mashujaa mnamo, 20 Oktoba, 2021 DISTIN...","EKWANA YOMORAISI YOMOSIKE: UHURU KENYATTA, C.G.H., EPURESIDENTI YENSE YA KENYA NAENDE OMONENE BWAMACHESI EKERO KIAERITUKO RIA MASHUJAA GOKWANERA ENSE CHITARIKI, 20 OMOTIENYI 10 OMWAKA, 2021 ABASIKE...",[],TRUE,1,[],FALSE,31,103,34,92,26,108,"SP ##EE ##CH BY H ##IS EX ##CE ##LL ##EN ##C ##Y H ##ON . U ##H ##UR ##U K ##EN ##Y ##AT ##TA , C . G . H . , PR ##ES ##ID ##EN ##T OF THE RE ##P ##UB ##L ##IC OF K ##EN ##Y ##A AND COM ##MA ##ND ##ER - IN ##CH ##IE ##F OF THE DE ##F ##EN ##CE FOR ##CE ##S D ##UR ##ING THE MA ##SH ##U ##J ##AA DA ##Y ST ##AT ##E AD ##D ##RE ##SS ON , 20 ##TH O ##CT ##O ##B ##ER , 2021 DI ##ST ##IN . . .","H ##OT ##UB ##A Y ##A MH ##ES ##HI ##MI ##WA MH ##ES ##HI ##MI ##WA U ##H ##UR ##U K ##EN ##Y ##AT ##TA , C . G . H . , RAI ##S W ##A JA ##M ##H ##UR ##I Y ##A K ##EN ##Y ##A NA Amir ##i Je ##shi Mk ##uu wa Maj ##esh ##i ya U ##lin ##zi W ##akati wa Hot ##uba ya Kita ##ifa ya Si ##ku ya Mas ##hu ##jaa mnamo , 20 Ok ##to ##ba , 2021 DI ##ST ##IN . . .","EK ##WA ##NA Y ##OM ##OR ##A ##IS ##I Y ##OM ##OS ##I ##K ##E : U ##H ##UR ##U K ##EN ##Y ##AT ##TA , C . G . H . , EP ##UR ##ES ##ID ##EN ##TI Y ##EN ##SE Y ##A K ##EN ##Y ##A NA ##EN ##DE OM ##ON ##EN ##E B ##WA ##MA ##CH ##ES ##I EK ##ERO K ##IA ##ER ##IT ##U ##KO RI ##A MA ##SH ##U ##J ##AA GO ##K ##WA ##NE ##RA EN ##SE CH ##IT ##AR ##I ##KI , 20 OM ##OT ##IE ##NY ##I 10 OM ##WA ##KA , 2021 ABA ##SI ##K ##E . . ."
613,Education,Start your business! Join TVET entrepreneurship courses.,Anza biashara yako! Jiunge na kozi za ujasiriamali za TVET.,Chaka ebiasara biao! Soa ekorechi yobobundi nechisemi chiokwegendereria (TVET) ase ekosi yochusi.,PSA,original_baseline_dataset,Start your business! Join TVET entrepreneurship courses.,Anza biashara yako! Jiunge na kozi za ujasiriamali za TVET.,Chaka ebiasara biao! Soa ekorechi yobobundi nechisemi chiokwegendereria (TVET) ase ekosi yochusi.,['TVET'],TRUE,0.073170732,['TVET'],FALSE,7,12,10,21,12,37,Start your business ! Jo ##in TV ##ET entrepreneur ##ship courses .,An ##za bias ##hara ya ##ko ! Ji ##unge na ko ##zi za u ##jas ##iria ##mali za TV ##ET .,Cha ##ka e ##bia ##sara bi ##ao ! So ##a ek ##ore ##chi yo ##bo ##bund ##i ne ##chis ##emi chi ##ok ##wegen ##dere ##ria ( TV ##ET ) as ##e ek ##osi yo ##chus ##i .
614,Education,Stay alert! Avoid unsafe routes to school in banditry zones.,Kuwa macho! Epuka njia zisizo salama za kwenda shuleni katika maeneo ya majambazi.,Kabe maiso! Tiga goetera chinchera chitabwati usalama gochia esukuru ase chingongo chiria chichoire nobokebago.,PSA,original_baseline_dataset,Stay alert! Avoid unsafe routes to school in banditry zones.,Kuwa macho! Epuka njia zisizo salama za kwenda shuleni katika maeneo ya majambazi.,Kabe maiso! Tiga goetera chinchera chitabwati usalama gochia esukuru ase chingongo chiria chichoire nobokebago.,[],FALSE,0.020833333,[],FALSE,10,18,13,28,14,36,Stay ale ##rt ! Av ##oid uns ##af ##e routes to school in band ##it ##ry zones .,Ku ##wa macho ! E ##pu ##ka n ##jia zi ##siz ##o sala ##ma za k ##wen ##da shu ##leni katika mae ##neo ya maja ##mba ##zi .,Ka ##be mais ##o ! Tiga go ##etera chi ##nche ##ra chi ##tab ##wati usa ##lama go ##chia es ##uku ##ru as ##e chi ##ngo ##ngo chi ##ria chi ##cho ##ire no ##bok ##eba ##go .
615,Education,"Stay alert! Schools, monitor for abduction risks.","Kuwa macho! Shule, fuatilia hatari za utekaji nyara.","Kabe maiso Chisukuru, Bwatia komanya bun abana babaise koibwa korwa esukuru.",PSA,original_baseline_dataset,"Stay alert! Schools, monitor for abduction risks.","Kuwa macho! Shule, fuatilia hatari za utekaji nyara.","Kabe maiso Chisukuru, Bwatia komanya bun abana babaise koibwa korwa esukuru.",[],FALSE,0.046875,[],FALSE,7,12,8,19,11,29,"Stay ale ##rt ! Schools , monitor for ab ##duction risks .","Ku ##wa macho ! Shu ##le , fu ##ati ##lia hata ##ri za ute ##kaj ##i nya ##ra .","Ka ##be mais ##o Chi ##su ##kur ##u , B ##wati ##a koma ##nya bun ab ##ana ba ##bai ##se ko ##ib ##wa kor ##wa es ##uku ##ru ."
616,Education,Stay cautious! Avoid strangers and report risks to teachers.,Kuwa mwangalifu! Epuka wageni na uripoti hatari kwa walimu.,Renda kegima! Kabe are nabanto otamanyeti na karwe amangana gochia ararete bokongu bonde bwonsi gochia ase abarimu.,PSA,original_baseline_dataset,Stay cautious! Avoid strangers and report risks to teachers.,Kuwa mwangalifu! Epuka wageni na uripoti hatari kwa walimu.,Renda kegima! Kabe are nabanto otamanyeti na karwe amangana gochia ararete bokongu bonde bwonsi gochia ase abarimu.,[],FALSE,0.020618557,[],FALSE,9,15,9,23,17,41,Stay ca ##uti ##ous ! Av ##oid strange ##rs and report risks to teachers .,Ku ##wa mwa ##nga ##lif ##u ! E ##pu ##ka wa ##geni na uri ##pot ##i hata ##ri kwa wa ##lim ##u .,Ren ##da ke ##gi ##ma ! Ka ##be are na ##bant ##o ot ##aman ##yeti na kar ##we ama ##ngan ##a go ##chia ara ##rete bok ##ong ##u bond ##e b ##won ##si go ##chia as ##e ab ##ari ##mu .
617,Education,Stay clean! Use school sanitation facilities to prevent cholera.,Endelea kuwa safi! Tumia vifaa vya usafi wa shule ili kuzuia kipindupindu.,Kabe omoterere! Tumia chinyomba chiobosafi chiesukuru gotanga endwari yogosaa.,PSA,original_baseline_dataset,Stay clean! Use school sanitation facilities to prevent cholera.,Endelea kuwa safi! Tumia vifaa vya usafi wa shule ili kuzuia kipindupindu.,Kabe omoterere! Tumia chinyomba chiobosafi chiesukuru gotanga endwari yogosaa.,[],FALSE,0.029411765,[],FALSE,9,13,12,27,9,27,Stay clean ! Use school san ##itation facilities to prevent cho ##lera .,Ende ##lea kuwa sa ##fi ! Tu ##mia vi ##fa ##a vya usa ##fi wa shu ##le ili ku ##zu ##ia ki ##pin ##du ##pin ##du .,Ka ##be om ##ote ##rere ! Tu ##mia chi ##nyo ##mba chi ##ob ##osa ##fi chi ##esu ##kur ##u got ##anga end ##wari yo ##gos ##aa .
618,Education,Stay healthy! Ensure schools have clean water and sanitation.,Endelea kuwa na afya njema! Hakikisha shule zina maji safi na usafi wa mazingira.,Kabe na afia engiya! Rora ng'a chisukuru nchibwate amache amaya nechinyomba chiobochenu.,PSA,original_baseline_dataset,Stay healthy! Ensure schools have clean water and sanitation.,Endelea kuwa na afya njema! Hakikisha shule zina maji safi na usafi wa mazingira.,Kabe na afia engiya! Rora ng'a chisukuru nchibwate amache amaya nechinyomba chiobochenu.,[],FALSE,0.027027027,[],FALSE,9,13,14,28,12,34,Stay healthy ! En ##sure schools have clean water and san ##itation .,Ende ##lea kuwa na af ##ya njem ##a ! Ha ##ki ##kis ##ha shu ##le zin ##a maji sa ##fi na usa ##fi wa ma ##zing ##ira .,Ka ##be na af ##ia eng ##iya ! R ##ora ng ' a chi ##su ##kur ##u nchi ##b ##wat ##e amach ##e ama ##ya ne ##chin ##yo ##mba chi ##ob ##oche ##nu .
619,Education,Stay in school! Avoid protest zones for safety.,Endelea shuleni! Epuka maeneo ya maandamano kwa ajili ya usalama.,Bera esukuru! Kabe are korwa ase baria bakoreta eburaburu ase esukuru ase okwerenda.,PSA,original_baseline_dataset,Stay in school! Avoid protest zones for safety.,Endelea shuleni! Epuka maeneo ya maandamano kwa ajili ya usalama.,Bera esukuru! Kabe are korwa ase baria bakoreta eburaburu ase esukuru ase okwerenda.,[],FALSE,0.028571429,[],FALSE,8,11,10,21,13,33,Stay in school ! Av ##oid protest zones for safety .,Ende ##lea shu ##leni ! E ##pu ##ka mae ##neo ya maand ##aman ##o kwa aj ##ili ya usa ##lama .,Be ##ra es ##uku ##ru ! Ka ##be are kor ##wa as ##e bar ##ia bak ##ore ##ta e ##bur ##abu ##ru as ##e es ##uku ##ru as ##e ok ##wer ##enda .
620,Education,Stay nourished! Enroll in schools with feeding programs.,Endelea kupata lishe bora! Jiandikishe katika shule zenye programu za kulisha.,Ragera buya! Soa chisukuru chibwate omoroberio bwokorageria.,PSA,original_baseline_dataset,Stay nourished! Enroll in schools with feeding programs.,Endelea kupata lishe bora! Jiandikishe katika shule zenye programu za kulisha.,Ragera buya! Soa chisukuru chibwate omoroberio bwokorageria.,[],FALSE,0.038461538,[],FALSE,8,13,11,24,7,25,Stay nou ##rish ##ed ! En ##roll in schools with feeding programs .,Ende ##lea kupa ##ta li ##she bor ##a ! Ji ##andi ##kis ##he katika shu ##le zen ##ye programu za ku ##lis ##ha .,Rage ##ra buy ##a ! So ##a chi ##su ##kur ##u chi ##b ##wat ##e om ##oro ##beri ##o b ##wo ##kor ##ager ##ia .
621,Education,Stay safe during protests! Avoid demonstration zones near schools.,Jilinde wakati wa maandamano! Epuka maeneo ya maandamano karibu na shule.,Erende chingaki chieburaburu ase esukuru. Kabe are korwa aria ase chiburaburu chigoansera esukuru.,PSA,original_baseline_dataset,Stay safe during protests! Avoid demonstration zones near schools.,Jilinde wakati wa maandamano! Epuka maeneo ya maandamano karibu na shule.,Erende chingaki chieburaburu ase esukuru. Kabe are korwa aria ase chiburaburu chigoansera esukuru.,[],FALSE,0.023809524,[],FALSE,9,12,11,24,13,35,Stay safe during protests ! Av ##oid demonstration zones near schools .,Ji ##lin ##de wakati wa maand ##aman ##o ! E ##pu ##ka mae ##neo ya maand ##aman ##o kar ##ibu na shu ##le .,Er ##ende chi ##nga ##ki chi ##eb ##ura ##buru as ##e es ##uku ##ru . Ka ##be are kor ##wa aria as ##e chi ##bur ##abu ##ru chi ##goa ##nser ##a es ##uku ##ru .
622,Education,Stay safe online! Teach students to avoid cyber threats.,Kaa salama mtandaoni! Wafundishe wanafunzi kuepuka vitisho vya mtandaoni.,Kabe otari namochando ase eintaneti! Somia abana bande gwetanga kogosereria ase eintaneti.,PSA,original_baseline_dataset,Stay safe online! Teach students to avoid cyber threats.,Kaa salama mtandaoni! Wafundishe wanafunzi kuepuka vitisho vya mtandaoni.,Kabe otari namochando ase eintaneti! Somia abana bande gwetanga kogosereria ase eintaneti.,[],FALSE,0.025974026,[],FALSE,9,14,9,30,12,31,Stay safe online ! Tea ##ch students to avoid c ##y ##ber threats .,Ka ##a sala ##ma m ##tand ##ao ##ni ! W ##af ##und ##ish ##e wa ##na ##fu ##nzi ku ##ep ##uka viti ##sh ##o vya m ##tand ##ao ##ni .,Ka ##be ot ##ari nam ##ocha ##ndo as ##e ein ##tane ##ti ! Som ##ia ab ##ana bande g ##wet ##anga ko ##gos ##erer ##ia as ##e ein ##tane ##ti .
623,Education,Stay safe! Follow evacuation plans during chemical spills.,Kaa salama! Fuata mipango ya uokoaji wakati wa kumwagika kwa kemikali.,Erende! Bwatia emeroberio yokwebacha korwa amache achafuirwe nechikemiko gose amasigira achfuirwe nechikemiko.,PSA,original_baseline_dataset,Stay safe! Follow evacuation plans during chemical spills.,Kaa salama! Fuata mipango ya uokoaji wakati wa kumwagika kwa kemikali.,Erende! Bwatia emeroberio yokwebacha korwa amache achafuirwe nechikemiko gose amasigira achfuirwe nechikemiko.,[],FALSE,0.020618557,[],FALSE,8,14,11,25,12,39,Stay safe ! Follow eva ##cua ##tion plans during chemical sp ##ill ##s .,Ka ##a sala ##ma ! Fu ##ata mi ##pang ##o ya u ##oko ##aji wakati wa ku ##m ##wag ##ika kwa ke ##mik ##ali .,Er ##ende ! B ##wati ##a em ##ero ##beri ##o yok ##web ##acha kor ##wa amach ##e ach ##af ##uir ##we ne ##chi ##kem ##iko go ##se ama ##sig ##ira ach ##fu ##ir ##we ne ##chi ##kem ##iko .
624,Education,Stay safe! Know your schoolâ€TMs flood safety zones.,Kaa salama! Jua maeneo ya usalama wa mafuriko ya shule yako.,Menya buya! Manya esukuru yao aase aimogete igoro.,PSA,original_baseline_dataset,"Stay safe! Know your school""TMs flood safety zones.",Kaa salama! Jua maeneo ya usalama wa mafuriko ya shule yako.,Menya buya! Manya esukuru yao aase aimogete igoro.,[],FALSE,0.048780488,[],FALSE,8,13,11,22,8,19,"Stay safe ! Know your school "" TM ##s flood safety zones .",Ka ##a sala ##ma ! Ju ##a mae ##neo ya usa ##lama wa ma ##fur ##iko ya shu ##le ya ##ko .,Men ##ya buy ##a ! Many ##a es ##uku ##ru yao aa ##se aim ##oge ##te ig ##oro .
625,Education,Stay safe! Report strangers near schools to teachers or police.,Kaa salama! Waripoti wageni walio karibu na shule kwa walimu au polisi.,Menya buya! Manyia igoro yomonto omogeni ase omwarimu gose omosikari.,PSA,original_baseline_dataset,Stay safe! Report strangers near schools to teachers or police.,Kaa salama! Waripoti wageni walio karibu na shule kwa walimu au polisi.,Menya buya! Manyia igoro yomonto omogeni ase omwarimu gose omosikari.,[],FALSE,0.034482759,[],FALSE,10,13,12,25,10,26,Stay safe ! Report strange ##rs near schools to teachers or police .,Ka ##a sala ##ma ! War ##ipo ##ti wa ##geni wa ##lio kar ##ibu na shu ##le kwa wa ##lim ##u au polis ##i .,Men ##ya buy ##a ! Many ##ia ig ##oro yo ##mont ##o om ##ogen ##i as ##e om ##wari ##mu go ##se om ##osi ##kari .
626,Education,"Stay safe! Schools, teach students about trafficking risks.","Kaeni salama! Shule, wafundisheni wanafunzi kuhusu hatari za usafirishaji haramu wa binadamu.","Menya buya! Chisukuru, somia abana igoro yomochando bwokoibwa kwa abana.",PSA,original_baseline_dataset,"Stay safe! Schools, teach students about trafficking risks.","Kaeni salama! Shule, wafundisheni wanafunzi kuhusu hatari za usafirishaji haramu wa binadamu.","Menya buya! Chisukuru, somia abana igoro yomochando bwokoibwa kwa abana.",[],FALSE,0.033333333,[],FALSE,8,12,12,32,10,29,"Stay safe ! Schools , teach students about traffic ##king risks .","Ka ##eni sala ##ma ! Shu ##le , wa ##fund ##ish ##eni wa ##na ##fu ##nzi kuhusu hata ##ri za usa ##fir ##isha ##ji har ##am ##u wa bin ##ada ##mu .","Men ##ya buy ##a ! Chi ##su ##kur ##u , som ##ia ab ##ana ig ##oro yo ##mo ##chan ##do b ##wo ##koi ##b ##wa kwa ab ##ana ."
627,Education,"Stay safe, students! Avoid protest areas near schools.","Kaeni salama, wanafunzi! Epuka maeneo ya maandamano karibu na shule.","Menya buya, abana! Kabe are korwa ase eburaburu ere ange nechisukuru.",PSA,original_baseline_dataset,"Stay safe, students! Avoid protest areas near schools.","Kaeni salama, wanafunzi! Epuka maeneo ya maandamano karibu na shule.","Menya buya, abana! Kabe are korwa ase eburaburu ere ange nechisukuru.",[],FALSE,0.035714286,[],FALSE,8,12,10,25,11,27,"Stay safe , students ! Av ##oid protest areas near schools .","Ka ##eni sala ##ma , wa ##na ##fu ##nzi ! E ##pu ##ka mae ##neo ya maand ##aman ##o kar ##ibu na shu ##le .","Men ##ya buy ##a , ab ##ana ! Ka ##be are kor ##wa as ##e e ##bur ##abu ##ru ere ang ##e ne ##chis ##uku ##ru ."
628,Education,Stay vigilant! Follow school safety protocols during terror alerts.,Kuwa macho! Fuata itifaki za usalama shuleni wakati wa tahadhari za ugaidi.,Kabe maiso! Bwatia emeroberio yesukuru ekero mwakureirwe.,PSA,original_baseline_dataset,Stay vigilant! Follow school safety protocols during terror alerts.,Kuwa macho! Fuata itifaki za usalama shuleni wakati wa tahadhari za ugaidi.,Kabe maiso! Bwatia emeroberio yesukuru ekero mwakureirwe.,[],FALSE,0.040816327,[],FALSE,9,15,12,23,7,23,Stay vi ##gil ##ant ! Follow school safety protocol ##s during terror ale ##rts .,Ku ##wa macho ! Fu ##ata it ##ifa ##ki za usa ##lama shu ##leni wakati wa ta ##had ##hari za uga ##idi .,Ka ##be mais ##o ! B ##wati ##a em ##ero ##beri ##o ye ##su ##kur ##u ek ##ero mwa ##kur ##eir ##we .
629,Education,Stay vigilant! Report banditry threats near schools to police.,Kuwa macho! Ripoti vitisho vya ujambazi karibu na shule kwa polisi.,Kabe maiso! Manyia igor yobokebago borabe ange nesukuru ase abasikari.,PSA,original_baseline_dataset,Stay vigilant! Report banditry threats near schools to police.,Kuwa macho! Ripoti vitisho vya ujambazi karibu na shule kwa polisi.,Kabe maiso! Manyia igor yobokebago borabe ange nesukuru ase abasikari.,[],FALSE,0.033898305,[],FALSE,9,15,11,24,10,26,Stay vi ##gil ##ant ! Report band ##it ##ry threats near schools to police .,Ku ##wa macho ! R ##ipo ##ti viti ##sh ##o vya u ##jam ##ba ##zi kar ##ibu na shu ##le kwa polis ##i .,Ka ##be mais ##o ! Many ##ia ig ##or yo ##bok ##eba ##go bor ##abe ang ##e nes ##uku ##ru as ##e ab ##asi ##kari .
630,Education,Stop GBV! Report gender-based violence in schools to 116.,Acha Ukatili wa Kijinsia! Ripoti ukatili wa kijinsia shuleni kwa 116.,Tanga ogokorera bobe abande (GBV)! Manyia ogokorera bobe abande ase esukuru goetera 116.,PSA,original_baseline_dataset,Stop GBV! Report gender-based violence in schools to 116.,Acha Ukatili wa Kijinsia! Ripoti ukatili wa kijinsia shuleni kwa 116.,Tanga ogokorera bobe abande (GBV)! Manyia ogokorera bobe abande ase esukuru goetera 116.,['GBV'],TRUE,0.072463768,['GBV'],FALSE,9,14,11,25,13,32,Stop GB ##V ! Report gender - based violence in schools to 116 .,A ##cha U ##kat ##ili wa Ki ##jin ##sia ! R ##ipo ##ti uk ##ati ##li wa ki ##jin ##sia shu ##leni kwa 116 .,Tang ##a og ##oko ##rera bob ##e ab ##ande ( GB ##V ) ! Many ##ia og ##oko ##rera bob ##e ab ##ande as ##e es ##uku ##ru go ##etera 116 .
631,Education,Stop GBV! Report school violence to authorities or call 116.,Acha Unyanyasaji wa Kijinsia! Ripoti vurugu shuleni kwa mamlaka au piga simu 116.,Tenenia ogokorera bobe abande (GBV)! Manyia ogokorera bobe abande ase esukuru ase abateteneri gose rangeria 116.,PSA,original_baseline_dataset,Stop GBV! Report school violence to authorities or call 116.,Acha Unyanyasaji wa Kijinsia! Ripoti vurugu shuleni kwa mamlaka au piga simu 116.,Tenenia ogokorera bobe abande (GBV)! Manyia ogokorera bobe abande ase esukuru ase abateteneri gose rangeria 116.,['GBV'],TRUE,0.055555556,['GBV'],FALSE,10,13,13,30,16,39,Stop GB ##V ! Report school violence to authorities or call 116 .,A ##cha Un ##yan ##yasa ##ji wa Ki ##jin ##sia ! R ##ipo ##ti vu ##rug ##u shu ##leni kwa mam ##lak ##a au pi ##ga sim ##u 116 .,Ten ##enia og ##oko ##rera bob ##e ab ##ande ( GB ##V ) ! Many ##ia og ##oko ##rera bob ##e ab ##ande as ##e es ##uku ##ru as ##e abate ##tener ##i go ##se range ##ria 116 .
632,Education,Students who scored C- and below in their 2023 Kenya Certificate of Secondary Education (KCSE) exam can pursue diploma and certificate courses in the medical field. The courses are offered at Kenya Me...,Wanafunzi waliopata alama ya C- na chini katika mtihani wao wa Cheti cha Elimu ya Sekondari cha Kenya (KCSE) cha 2023 wanaweza kufuata kozi za diploma na cheti katika uwanja wa matibabu. Kozi hizo zinatolewa katika Kenya Me...,Abana baria banyorete egeredi gia C- na inse ase amatemwa omwaka 2023 esekenderi (KCSE) nabo barasomere chikoso chiesatificate ase ase obobwenia ao ao. Chikosi echi nigo chikorwegwa ase chikorechi Chiobonyagitari...,PSA,original_baseline_dataset,Students who scored C- and below in their 2023 Kenya Certificate of Secondary Education (KCSE) exam can pursue diploma and certificate courses in the medical field. The courses are offered at Kenya Me...,Wanafunzi waliopata alama ya C- na chini katika mtihani wao wa Cheti cha Elimu ya Sekondari cha Kenya (KCSE) cha 2023 wanaweza kufuata kozi za diploma na cheti katika uwanja wa matibabu. Kozi hizo zinatolewa katika Kenya Me...,Abana baria banyorete egeredi gia C- na inse ase amatemwa omwaka 2023 esekenderi (KCSE) nabo barasomere chikoso chiesatificate ase ase obobwenia ao ao. Chikosi echi nigo chikorwegwa ase chikorechi Chiobonyagitari...,['KCSE'],TRUE,0.045714286,['KCSE'],FALSE,33,43,38,74,30,80,Students who scored C - and below in their 202 ##3 Kenya Certificate of Secondary Education ( KC ##SE ) ex ##am can pursue diploma and certificate courses in the medical field . The courses are offered at Kenya Me . . .,Wan ##af ##un ##zi wa ##lio ##pata alam ##a ya C - na chini katika m ##tih ##ani wa ##o wa Che ##ti cha Eli ##mu ya Se ##konda ##ri cha Kenya ( KC ##SE ) cha 202 ##3 wa ##na ##weza ku ##fu ##ata ko ##zi za diploma na che ##ti katika u ##wan ##ja wa mati ##bab ##u . Ko ##zi hizo zin ##ato ##le ##wa katika Kenya Me . . .,Ab ##ana bar ##ia ban ##yor ##ete e ##gere ##di gia C - na ins ##e as ##e amat ##em ##wa om ##wak ##a 202 ##3 ese ##kende ##ri ( KC ##SE ) na ##bo bara ##some ##re chi ##kos ##o chiesa ##tif ##icate as ##e as ##e ob ##ob ##wen ##ia ao ao . Chi ##kos ##i e ##chi ni ##go chi ##kor ##weg ##wa as ##e chi ##kor ##ech ##i Chi ##ob ##ony ##agi ##tari . . .
